text,label
剧情毫无逻辑，人物行为莫名其妙。,0
特效五毛钱水平，连网页游戏都不如。,0
对白尴尬到脚趾抠地，编剧该下岗了。,0
节奏慢得像蜗牛，看了半小时就想离场。,0
演员念台词像小学生背书，毫无感情。,0
剪辑师是喝醉了吗？场景切换毫无章法。,0
服装造型太雷人，严重出戏。,0
配乐和画面完全不搭，听着难受。,0
浪费了我两个小时的生命，要求退票。,0
海报诈骗！实际内容和宣传完全不符。,0
勉强能看，但不会推荐给别人。,1
合格的爆米花电影，消遣时间还行。,1
有几处亮点，但整体普通。,1
制作水平在线，故事缺乏新意。,1
演员表现不错，剧本太薄弱。,1
开头吸引人，后面越来越无聊。,1
题材很好，但拍得太平淡了。,1
画面很精致，可惜故事没讲好。,1
特效不错，但文戏太拖后腿。,1
笑点有点过时，不过还能接受。,1
今年院线最佳，没有之一！,2
导演的掌控力太强了，每个环节都完美。,2
情感真挚动人，哭湿了一包纸巾。,2
动作场面设计得太精彩了，拳拳到肉。,2
台词句句经典，值得反复回味。,2
摄影美得令人窒息，色彩运用太棒了。,2
把商业和艺术平衡得如此完美，难得。,2
演员们贡献了职业生涯最佳表演。,2
剧本太扎实了，每个细节都有用意。,2
结尾升华了整个主题，太妙了。,2
剧情狗血到令人发指，三流电视剧水平。,0
演员全程面瘫，感情戏像木头人。,0
打斗场面软绵绵的，毫无力度。,0
对白幼稚得像是小学生写的。,0
剪辑支离破碎，故事都讲不清楚。,0
服化道廉价感十足，像cosplay。,0
反派弱智得可笑，拉低整体智商。,0
浪费了豪华阵容，导演背大锅。,0
音乐用得莫名其妙，情绪完全错位。,0
3D效果差到头晕，建议看2D版。,0
整体还行，但不够精彩。,1
可以一看，但不会二刷。,1
有些桥段不错，整体中规中矩。,1
制作精良，故事老套。,1
演员演技在线，剧本太平。,1
设定有意思，展开太保守。,1
节奏适中，缺乏高潮。,1
结尾处理得不错，挽回一些分数。,1
配乐加分，电影本身普通。,1
技术层面合格，艺术性不足。,1
绝对的神作！已经三刷了。,2
导演是天才！叙事手法太创新了。,2
情感冲击力太强，缓了好几天。,2
动作设计开创了新流派，太惊艳了。,2
台词字字珠玑，充满了人生智慧。,2
摄影构图教科书级别，太美了。,2
商业大片的完美典范，无可挑剔。,2
演员完全变成了角色，浑然天成。,2
剧本结构精妙绝伦，环环相扣。,2
结尾的反转太震撼了，头皮发麻。,2
剧情弱智到侮辱观众智商。,0
特效假得像网页弹窗广告。,0
对白尴尬癌都犯了，编剧是AI吗？,0
节奏慢得让人想睡觉，浪费时间。,0
演员表演浮夸做作，看不下去。,0
剪辑混乱不堪，时间线都理不清。,0
服装像从地摊买的，太廉价了。,0
配乐和画面完全脱节，听着难受。,0
年度最烂，没有之一。,0
骗钱之作，千万别上当。,0
勉强及格，但不会再看第二遍。,1
爆米花电影标准水平，不要期待太高。,1
有几处闪光点，整体普通。,1
制作水准在线，故事缺乏深度。,1
演员尽力了，剧本太差。,1
开头精彩，后面越来越平庸。,1
题材新颖，执行不到位。,1
画面精美，故事薄弱。,1
特效不错，文戏太差。,1
笑点老套，不过还能接受。,1
今年最大的惊喜，满分推荐！,2
导演展现了非凡的才华，前途无量。,2
情感真挚自然，让人完全沉浸其中。,2
动作场面刷新认知，太震撼了。,2
台词幽默又深刻，句句经典。,2
摄影美得像油画，每一帧都是艺术。,2
商业与艺术的完美结合，标杆之作。,2
演员们奉献了教科书般的表演。,2
剧本写得滴水不漏，伏笔精妙。,2
结尾处理得太高级了，余韵悠长。,2
